Township,HA_Num,HA_Name,HSDA_Num,HSDA_Name,LHA_Num,LHA_Name,Province
EDGEWOOD,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
EHOLT,1,Interior,12,Kootenay Boundary,126,Grand Forks,BC
ELK PRAIRIE,1,Interior,11,East Kootenay,111,Fernie,BC
ELKFORD,1,Interior,11,East Kootenay,111,Fernie,BC
ELKO,1,Interior,11,East Kootenay,111,Fernie,BC
ELLISON,1,Interior,13,Okanagan,137,Central Okanagan,BC
ENDERBY,1,Interior,13,Okanagan,139,Enderby,BC
ENTERPRISE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
ERICKSON,1,Interior,11,East Kootenay,115,Creston,BC
ERIE,1,Interior,12,Kootenay Boundary,122,Nelson,BC
ESLER,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
EWING,1,Interior,13,Okanagan,137,Central Okanagan,BC
EXLOU,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
FAIRMONT HOT SPRINGS,1,Interior,11,East Kootenay,114,Windermere,BC
FAIRVIEW,1,Interior,13,Okanagan,131,Southern Okanagan,BC
FALKLAND,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
FAUQUIER,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
FERGUSON,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
FERNIE,1,Interior,11,East Kootenay,111,Fernie,BC
FIELD,1,Interior,11,East Kootenay,116,Golden,BC
FIELD (BC),1,Interior,11,East Kootenay,116,Golden,BC
FIFE,1,Interior,12,Kootenay Boundary,126,Grand Forks,BC
FINTRY,1,Interior,13,Okanagan,137,Central Okanagan,BC
FIR LAKE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
FIVE MILE,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
FLATHEAD,1,Interior,11,East Kootenay,111,Fernie,BC
FORDE,1,Interior,11,East Kootenay,116,Golden,BC
FOREST GROVE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
FORT STEELE,1,Interior,11,East Kootenay,112,Cranbrook,BC
FOSTHALL,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
FOUNTAIN VALLEY,1,Interior,14,Thompson Cariboo Shuswap,147,Lillooet,BC
FOX MOUNTAIN,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
FREDERICK,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
FRUITVALE,1,Interior,12,Kootenay Boundary,125,Trail,BC
FRY CREEK,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
GALENA,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
GALENA BAY,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
GALLAGHER CANYON,1,Interior,13,Okanagan,137,Central Okanagan,BC
GALLAGHER LAKE,1,Interior,13,Okanagan,131,Southern Okanagan,BC
GALLOWAY,1,Interior,11,East Kootenay,111,Fernie,BC
GANG RANCH,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
GATEWAY,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
GENELLE,1,Interior,12,Kootenay Boundary,125,Trail,BC
GERRARD,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
GIBRALTAR,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
GIBSON CREEK,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
GILPIN,1,Interior,12,Kootenay Boundary,126,Grand Forks,BC
GLACIER,1,Interior,14,Thompson Cariboo Shuswap,141,Revelstoke,BC
GLADE,1,Interior,12,Kootenay Boundary,123,Castlegar,BC
GLADWIN,1,Interior,14,Thompson Cariboo Shuswap,148,South Cariboo,BC
GLENBANK,1,Interior,12,Kootenay Boundary,124,Arrow Lakes,BC
GLENEMMA,1,Interior,14,Thompson Cariboo Shuswap,142,Salmon Arm,BC
GLENLILY,1,Interior,11,East Kootenay,115,Creston,BC
GLENOGLE,1,Interior,11,East Kootenay,116,Golden,BC
GLIMPSE LAKE,1,Interior,14,Thompson Cariboo Shuswap,149,Merritt,BC
GOLD BRIDGE,1,Interior,14,Thompson Cariboo Shuswap,147,Lillooet,BC
GOLDEN,1,Interior,11,East Kootenay,116,Golden,BC
GRAND FORKS,1,Interior,12,Kootenay Boundary,126,Grand Forks,BC
GRANDVIEW BENCH,1,Interior,13,Okanagan,139,Enderby,BC
GRASMERE,1,Interior,11,East Kootenay,111,Fernie,BC
GRAY CREEK,1,Interior,12,Kootenay Boundary,121,Kootenay Lake,BC
GREATA,1,Interior,13,Okanagan,138,Summerland,BC
GREEN LAKE,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
GREENWOOD,1,Interior,12,Kootenay Boundary,127,Kettle Valley,BC
GRINDROD,1,Interior,13,Okanagan,139,Enderby,BC
GRINROD,1,Interior,13,Okanagan,139,Enderby,BC
GUN LAKE,1,Interior,14,Thompson Cariboo Shuswap,147,Lillooet,BC
HANCEVILLE,1,Interior,14,Thompson Cariboo Shuswap,146,Cariboo/Chilcotin,BC
HARROGATE,1,Interior,11,East Kootenay,116,Golden,BC
HARROP,1,Interior,12,Kootenay Boundary,122,Nelson,BC
HAWKINS LAKE SUBDIVISION,1,Interior,14,Thompson Cariboo Shuswap,144,100 Mile House,BC
HEAFFLEY CREEK,1,Interior,14,Thompson Cariboo Shuswap,143,Kamloops,BC
HEDLEY,1,Interior,13,Okanagan,133,Keremeos,BC
